day,phenotype,developer,assign_date,reviewer
1,Type 2 Diabetes Mellitus,Adam Black,2/9/2022,NA
2,Type 1 Diabetes Mellitus,Adam Black,2/10/2022,NA
3,Atrial Fibrillation,NA,NA,NA
4,Multiple Myeloma,NA,NA,NA
5,Alzheimers Disease,NA,NA,NA
6,Hemorrhagic Events,NA,NA,NA
7,Neutropenia,NA,NA,NA
8,Kidney Stones,NA,NA,NA
9,NA,NA,NA,NA
10,Systemic Lupus Erythematosus,NA,NA,NA
11,NA,NA,NA,NA
12,NA,NA,NA,NA
13,NA,NA,NA,NA
14,NA,NA,NA,NA
15,NA,NA,NA,NA
16,NA,NA,NA,NA
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,NA,NA,NA,NA
